l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_f,heat_ext
1508,10,0.021,0.752,0.02,37.6,29.96988564,44,1552,2.88,2281.86,59.98,7.58,273.39,94.92708333,25224060.75
1508,9,0.022,0.69,0.014,49.28571429,39.77262916,64,1572,2.87,2275.89,60.17,7.87,270.55,94.26829268,26211591.66
1508,13,0.015,0.702,0.025,28.08,25.10710746,40,1548,2.83,2276.49,59.97,7.68,268.39,94.83745583,25947159.52
1508,12,0.025,0.734,0.022,33.36363636,27.78715793,22,1530,2.84,2271.53,59.94,7.87,269.53,94.90492958,26437729.8
1508,10,0.026,0.745,0.016,46.5625,35.77449321,65,1573,2.28,2274.53,59.41,7.54,217.59,95.43421053,31592024.58
1508,8,0.016,0.7,0.015,46.66666667,37.65403131,59,1567,3.01,2272.27,60.01,7.43,280.59,93.2192691,23557627.12
1508,6,0.032,0.743,0.025,29.72,25.10710746,55,1563,3.17,2277.31,60.12,7.91,282.44,89.0977918,23866496.16
1508,11,0.025,0.75,0.019,39.47368421,31.21470086,53,1561,2.84,2278.22,59.88,7.7,270.97,95.41197183,25942829.15
1508,7,0.018,0.79,0.013,60.76923077,42.18126779,31,1539,2.84,2280.7,60.02,7.35,269.49,94.89084507,24790566.55
1508,8,0.018,0.75,0.024,31.25,25.93359266,40,1548,2.81,2278.49,60.08,7.24,266.15,94.71530249,24656343.03
1508,8,0.014,0.74,0.01,74,51.94243253,49,1557,2.72,2349.81,60.06,7.12,257.26,94.58088235,25834087.59
1508,15,0.015,0.7,0.022,31.81818182,27.78715793,45,1553,3.02,2348.5,60.24,7.61,259.59,85.95695364,24855217.55
1508,14,0.024,0.712,0.018,39.55555556,32.58285073,45,1553,2.73,2348.83,60.14,6.9,258.2,94.57875458,24933733.85
1508,10,0.016,0.742,0.019,39.05263158,31.21470086,30,1538,3.1,2347.59,59.93,7.63,256.06,82.6,24268022.3
1508,14,0.022,0.743,0.022,33.77272727,27.78715793,45,1553,2.87,2349.24,60.04,7.43,254.22,88.57839721,25543687.61
1508,15,0.021,0.71,0.025,28.4,25.10710746,73,1581,2.44,2345.05,59.47,7.21,233.75,95.79918033,29103608.24
1508,15,0.021,0.789,0.028,28.17857143,22.94811947,28,1536,2.91,2353.01,60.02,6.86,256.04,87.9862543,23297224.78
1508,15,0.016,0.756,0.026,29.07692308,24.33786233,32,1540,2.72,2345.45,59.96,7.05,259.01,95.22426471,25532637.68
1508,8,0.026,0.75,0.03,25,21.72572514,47,1555,2.83,2351.58,63.9,6.77,264.18,93.34982332,23627146.9
1508,13,0.02,0.726,0.022,33,27.78715793,40,1548,2.85,2348.74,63.97,6.7,260.11,91.26666667,23190717.05
1508,14,0.02,0.753,0.018,41.83333333,32.58285073,58,1566,2.29,2351.15,63.46,7.2,219.89,96.02183406,31047500.44
1508,9,0.022,0.723,0.022,32.86363636,27.78715793,46,1554,2.8,2351.08,64.04,7.36,255.52,91.25714286,25955923.2
1508,11,0.022,0.723,0.021,34.42857143,28.83191546,63,1571,2.66,2346.99,64.1,7.43,248.21,93.31203008,27533898.47
1508,15,0.02,0.742,0.028,26.5,22.94811947,42,1550,2.74,2350.48,64.02,7.27,248.82,90.81021898,26193268.73
1508,17,0.014,0.79,0.016,49.375,35.77449321,43,1551,2.86,2353.4,63.9,7.64,248.87,87.01748252,26404160.56
1510,10,0.018,1.021,0.027,37.81481481,23.61991192,73,1583,2.22,2329.11,59.48,6.71,213.36,96.10810811,29567107.22
1508,17,0.031,0.746,0.024,31.08333333,25.93359266,48,1556,2.79,2329.45,60.13,7.4,264.53,94.81362007,25949572.04
1508,17,0.015,0.754,0.028,26.92857143,22.94811947,47,1555,2.64,2335.24,59.84,7.04,251.49,95.26136364,26154688
1508,21,0.023,0.79,0.015,52.66666667,37.65403131,41,1549,2.34,2338.69,60.1,6.59,221.04,94.46153846,27662505.05
1508,18,0.019,0.715,0.023,31.08695652,26.82423957,45,1553,2.29,2337.14,46.96,7.17,220.66,96.3580786,30733901.29
