grade,grade_s,seq_no,grade_mn,l_temp,dd,p,mn,s,mn_s,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,980,S10,B,0.1691249884,2.613738911,-1.202554515,-0.6720197634,-0.0134830797,-0.5083873469,-0.1205214743,0.05325813175,1.023468337,-0.6815418387,0.17220512,0.6685007069,0.009017589375,0.009017589375,0.3126777073
F,980,S29,B,0.1691249884,2.613738911,-1.578943034,-0.6988970335,1.229868368,-0.9847088909,-0.3642488967,-0.4526797762,-0.4914726778,-0.6525677248,2.469911973,0.4292347231,-0.3309195541,-0.3309195541,0.5396736507
F,976,M,C,0.20672342,-0.1791663894,-0.2615832179,0.6019628415,1.052246733,-0.4613122939,-0.1205214743,0.1207165195,-1.636094778,-0.5725739756,2.436946308,0.1633836301,-0.9128054942,-0.9128054942,0.6763756074
F,980,S5,B,0.1691249884,1.217286261,0.1148053009,-0.6612688553,1.407490004,-1.019979161,-0.2992549174,-0.3177630007,0.3501612191,-0.4960445226,2.532546737,0.4558198325,0.08850720159,0.08850720159,0.3185350931
F,980,S10,B,0.1691249884,1.217286261,-1.390748774,-0.7311497577,1.585111639,-1.087995457,-0.4779883605,-0.6887841332,0.01350766033,-0.4990364148,2.496284505,0.5089900511,-0.08146137015,-0.08146137015,0.4687238206
F,980,S20,B,0.1691249884,1.496576791,3.314107711,-0.8171570222,0.1641385557,-0.6578930563,-0.3155034122,-0.3514921946,-0.0874884073,-0.5821795242,2.469911973,0.5469687787,-0.1221219552,-0.1221219552,0.5308688781
F,976,M,C,0.20672342,-0.4584569194,-0.07338895848,0.8062300946,-0.0134830797,0.1810254138,0.09070895848,0.5591960397,-1.333106575,-0.5595041308,2.282007682,0.1975644849,-0.7428369225,-0.7428369225,0.5981323879
F,909,S10,C,0.1315265568,-0.1791663894,0.3029995603,0.8492337268,1.585111639,-0.5720640164,-0.3317519071,-0.4526797762,1.865102233,-0.6376082638,2.46331884,0.6381177249,0.4225833598,0.4225833598,0.08651423073
F,909,M,C,0.1315265568,0.6587052008,-0.2615832179,0.6180892036,-0.1911047151,0.2167495296,0.1232059481,0.4917376519,-0.3231458984,-0.5843840764,2.433649741,0.573553888,-0.2354953883,-0.2354953883,0.6349161127
F,909,S5,C,0.1315265568,2.613738911,1.055776598,0.8331073647,-0.1911047151,0.3220416604,-0.2342609381,-0.250304613,-0.3568112543,-0.5595041308,2.52925017,0.5089900511,-0.285130607,-0.285130607,0.5832723844
F,909,S10,C,0.1315265568,1.496576791,1.808553635,0.8062300946,-0.5463479859,0.6072078481,-0.5592308347,-0.9248884902,-0.9291223042,-0.5533628784,2.52925017,0.4748091962,-0.5688389234,-0.5688389234,0.7526008863
F,909,S19,C,0.1315265568,2.334448381,1.055776598,0.8277319107,1.052246733,-0.3794184142,-0.2180124433,-0.2165754191,-0.8617915924,-0.6199718467,2.469911973,0.4406283414,-0.4972250101,-0.4972250101,0.6847766826
F,909,S24,C,0.1315265568,2.613738911,-0.07338895848,1.247017325,0.8746250973,-0.1446859579,-0.1855154536,-0.1491170314,-0.9964530159,-0.5843840764,2.492987938,0.4064474866,-0.5792788033,-0.5792788033,0.7011474257
F,980,M,B,0.1691249884,-0.4584569194,-0.4497774773,-0.591387953,0.3417601911,-0.6364600734,0.2369454119,0.7953003967,-1.501433354,-1.00198924,2.38749781,0.588745379,-0.8466862546,-0.8466862546,1.0749233
F,980,S05,B,0.1691249884,0.1001241407,-0.4497774773,-0.4570016022,-0.3687263505,-0.2009554366,-0.05552749498,0.1881749072,-0.154819119,-0.9712829775,2.443539441,0.7178730528,-0.1571047108,-0.1571047108,0.6873926166
F,980,S10,B,0.1691249884,1.217286261,-1.578943034,-0.4570016022,0.6970034619,-0.7229827374,-0.7379642778,-1.228451235,-0.2221498308,-1.020570465,2.562215835,0.49379856,-0.1972158285,-0.1972158285,0.4859340946
F,980,M,B,0.1691249884,1.775867321,0.4911938197,-0.6128897691,-0.0134830797,-0.4808108366,-0.006782010493,0.2893624888,-1.164779795,-0.9854550985,2.328159613,0.5051921783,-0.6399033693,-0.6399033693,0.8390843109
F,980,S05,B,0.1691249884,1.775867321,0.6793880791,-0.5806370449,0.3417601911,-0.6318821548,-0.08802448464,0.1207165195,-0.02015769554,-0.9601027488,2.486394805,0.6685007069,-0.07871403332,-0.07871403332,0.5957175098
F,980,S10,B,0.1691249884,2.055157851,-1.767137293,-0.7526515738,0.1641385557,-0.629177021,-0.3642488967,-0.4526797762,1.461117963,-0.9893917987,2.562215835,0.5203836693,0.3097593941,0.3097593941,0.05721726013
F,980,S15,B,0.1691249884,-0.1791663894,-1.390748774,-0.8816624705,-0.5463479859,-0.311173515,-0.1692669588,-0.04792944983,1.360121895,-0.8801089996,2.456725707,0.5013943056,0.4260633198,0.4260633198,0.07225471639
F,980,S20,B,0.1691249884,-0.4584569194,-1.202554515,-0.5645106828,-1.079212892,0.3088801441,-0.3480004019,-0.4189505823,1.360121895,-0.9972651992,2.456725707,0.6722985797,0.3663545328,0.3663545328,0.2067710922
F,980,S25,B,0.1691249884,-0.1791663894,-1.014360255,-0.6827706715,-0.5463479859,-0.2029566026,-0.2667579278,-0.250304613,1.393787251,-0.9504972002,2.499581071,0.7026815617,0.385219579,0.385219579,0.2272957882
F,980,S30,B,0.1691249884,0.1001241407,-1.390748774,-0.779528844,0.1641385557,-0.641142036,-0.153018464,-0.01420025597,1.427452607,-0.9501822642,2.532546737,0.6229262338,0.3346685814,0.3346685814,0.1528216661
F,980,M,B,0.1691249884,1.217286261,-1.767137293,-0.6988970335,-0.3687263505,-0.3256434861,1.991782853,4.438053334,-1.265775863,-0.07355785115,2.390794377,0.5317772876,-0.725070811,-0.725070811,0.9953538389
F,980,S14,B,0.1691249884,0.6587052008,-0.2615832179,-0.5806370449,0.3417601911,-0.6318821548,-0.3317519071,-0.3852213884,0.1818344397,-0.01151545512,2.52925017,0.5925432518,0.005354473605,0.005354473605,0.536606251
F,980,S10,B,0.1691249884,2.055157851,-1.390748774,-0.790279752,2.295598181,-1.256566094,-0.2180124433,-0.1491170314,0.5184879985,-0.05182726574,2.499581071,0.5621602697,0.1927228453,0.1927228453,0.4039305793
