grade,grade_s,seq_no,l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,980,S09,1508,15,0.016,0.756,0.026,29.07692308,24.33786233,32,1540,2.72,2345.45,59.96,7.05,259.01,129.505,25532637.68
F,980,S15,1508,8,0.026,0.75,0.03,25,21.72572514,47,1555,2.83,2351.58,63.9,6.77,264.18,132.09,23627146.9
F,980,S20,1508,13,0.02,0.726,0.022,33,27.78715793,40,1548,2.85,2348.74,63.97,6.7,260.11,130.055,23190717.05
F,980,M,1508,14,0.02,0.753,0.018,41.83333333,32.58285073,58,1566,2.29,2351.15,63.46,7.2,219.89,109.945,31047500.44
F,980,S05,1508,9,0.022,0.723,0.022,32.86363636,27.78715793,46,1554,2.8,2351.08,64.04,7.36,255.52,127.76,25955923.2
F,980,S10,1508,11,0.022,0.723,0.021,34.42857143,28.83191546,63,1571,2.66,2346.99,64.1,7.43,248.21,124.105,27533898.47
F,980,S15,1508,15,0.02,0.742,0.028,26.5,22.94811947,42,1550,2.74,2350.48,64.02,7.27,248.82,124.41,26193268.73
F,980,S20,1508,17,0.014,0.79,0.016,49.375,35.77449321,43,1551,2.86,2353.4,63.9,7.64,248.87,124.435,26404160.56
F,976,M,1510,10,0.018,1.021,0.027,37.81481481,23.61991192,73,1583,2.22,2329.11,59.48,6.71,213.36,106.68,29567107.22
F,980,S05,1508,17,0.031,0.746,0.024,31.08333333,25.93359266,48,1556,2.79,2329.45,60.13,7.4,264.53,132.265,25949572.04
F,980,S10,1508,17,0.015,0.754,0.028,26.92857143,22.94811947,47,1555,2.64,2335.24,59.84,7.04,251.49,125.745,26154688
F,980,S15,1508,21,0.023,0.79,0.015,52.66666667,37.65403131,41,1549,2.34,2338.69,60.1,6.59,221.04,110.52,27662505.05
F,980,S28,1508,18,0.019,0.715,0.023,31.08695652,26.82423957,45,1553,2.29,2337.14,46.96,7.17,220.66,110.33,30733901.29
F,980,M,1508,13,0.024,0.719,0.018,39.94444444,32.58285073,76,1584,2.21,2346.31,53.73,6.68,209.65,104.825,29786458.53
F,909,S15,1506,14,0.024,1.047,0.025,41.88,25.10710746,45,1551,2.75,2356.18,62.96,7.6,258.98,129.49,27348823.85
F,909,S20,1506,3,0.022,1.014,0.029,34.96551724,22.31802259,44,1550,2.81,2355.19,62.9,7.6,259.52,129.76,26753617.37
F,909,S30,1506,7,0.028,1.052,0.021,50.0952381,28.83191546,44,1550,2.63,2360.12,63.07,7.06,249.69,124.845,26609231.27
F,980,S35,1508,11,0.022,0.73,0.019,38.42105263,31.21470086,54,1562,2.64,2361.72,62.94,7.24,251.41,125.705,27202720.36
F,980,M,1508,16,0.031,0.8,0.019,42.10526316,31.21470086,76,1584,2.26,2362.64,62.5,7.25,214.83,107.415,31832915.04
F,909,S05,1506,15,0.019,0.969,0.022,44.04545455,27.78715793,42,1548,2.67,2359.68,62.92,7.33,253.65,126.825,27207905.8
F,909,S10,1506,11,0.022,1.15,0.019,60.52631579,31.21470086,40,1546,2.59,2359.23,62.96,7.21,246,123,27583862.11
F,980,S19,1508,17,0.028,0.843,0.022,38.31818182,27.78715793,59,1567,2.75,2360.52,63.06,7.39,259,129.5,26642116.28
F,980,S30,1508,10,0.016,0.74,0.02,37,29.96988564,45,1553,2.36,2360.59,63.06,7.03,223.34,111.67,29533381.5
F,909,M,1506,8,0.025,1.04,0.016,65,35.77449321,67,1573,2.21,2355.22,62.57,7.39,210.65,105.325,33077519.62
F,980,S05,1508,14,0.022,0.75,0.019,39.47368421,31.21470086,40,1548,2.89,2356.28,63.03,7.41,265.76,132.88,25374445.04
F,980,S10,1508,14,0.018,0.72,0.019,37.89473684,31.21470086,51,1559,3.19,2355.02,63.03,7.8,267.31,133.655,24185095.67
F,909,S15,1506,16,0.014,1.117,0.023,48.56521739,26.82423957,50,1556,2.77,2349.37,62.86,7.52,263.1,131.55,26787906.89
F,909,S20,1506,17,0.022,1.047,0.021,49.85714286,28.83191546,39,1545,2.74,2344.34,63.01,7.32,259.92,129.96,26304521.52
F,909,S24,1506,16,0.025,1.04,0.022,47.27272727,27.78715793,63,1569,2.73,2352.06,62.97,7.63,259.74,129.87,27609565.85
F,980,M,1508,8,0.028,0.739,0.025,29.56,25.10710746,66,1574,2.21,2384.5,62.4,6.6,211.13,105.565,29908751.13
F,909,S10,1506,6,0.02,1.04,0.016,65,35.77449321,54,1560,2.9,2397.04,62.91,7.19,275.08,137.54,24960625.49
F,909,S15,1506,6,0.017,1.045,0.024,43.54166667,25.93359266,46,1552,2.8,2390.92,63.01,7.37,266.26,133.13,26431620.6
